"type","id","name","district","county","sub-county"
"D","01","Apac","Apac","",""
"C","002","Kwania County","Apac","Kwania County",""
"S","01","Aduku","Apac","Kwania County","Aduku"
"S","02","Cawente","Apac","Kwania County","Cawente"
"S","03","Inomo","Apac","Kwania County","Inomo"
"S","04","Nambieso","Apac","Kwania County","Nambieso"
"S","05","Abongomola","Apac","Kwania County","Abongomola"
"S","06","Aduku Town Council","Apac","Kwania County","Aduku Town Council"
"C","003","Maruzi County","Apac","Maruzi County",""
"S","01","Akokoro","Apac","Maruzi County","Akokoro"
"S","02","Apac","Apac","Maruzi County","Apac"
"S","03","Apac Town Council","Apac","Maruzi County","Apac Town Council"
"S","04","Chegere","Apac","Maruzi County","Chegere"
"S","05","Ibuje","Apac","Maruzi County","Ibuje"
"D","02","Arua","Arua","",""
"C","007","Ayivu County","Arua","Ayivu County",""
"S","01","Adumi","Arua","Ayivu County","Adumi"
"S","02","Aroi","Arua","Ayivu County","Aroi"
"S","03","Oluko","Arua","Ayivu County","Oluko"
"S","04","Pajulu","Arua","Ayivu County","Pajulu"
"S","05","Manibe","Arua","Ayivu County","Manibe"
"S","06","Dadamu","Arua","Ayivu County","Dadamu"
"S","07","Ayivuni","Arua","Ayivu County","Ayivuni"
"C","009","Madi-Okollo County","Arua","Madi-Okollo County",""
"S","01","Offaka","Arua","Madi-Okollo County","Offaka"
"S","02","Ogoko","Arua","Madi-Okollo County","Ogoko"
"S","03","Okollo","Arua","Madi-Okollo County","Okollo"
"S","04","Rhino Camp","Arua","Madi-Okollo County","Rhino Camp"
"S","05","Rigbo","Arua","Madi-Okollo County","Rigbo"
"S","06","Uleppi","Arua","Madi-Okollo County","Uleppi"
"S","08","Anyiribu","Arua","Madi-Okollo County","Anyiribu"
"S","09","Pawor","Arua","Madi-Okollo County","Pawor"
"S","10","Ewanga","Arua","Madi-Okollo County","Ewanga"
"C","011","Terego County","Arua","Terego County",""
"S","01","Aii-Vu/Ajivu","Arua","Terego County","Aii-Vu/Ajivu"
"S","02","Beleafe","Arua","Terego County","Beleafe"
"S","03","Katrini","Arua","Terego County","Katrini"
"S","04","Omugo","Arua","Terego County","Omugo"
"S","05","Odupi","Arua","Terego County","Odupi"
"S","06","Uriama","Arua","Terego County","Uriama"
"C","012","Vurra County","Arua","Vurra County",""
"S","01","Ajia","Arua","Vurra County","Ajia"
"S","02","Arivu","Arua","Vurra County","Arivu"
"S","03","Logiri","Arua","Vurra County","Logiri"
"S","04","Vurra","Arua","Vurra County","Vurra"
"C","013","Arua Municipality","Arua","Arua Municipality",""
"S","01","Arua Hill","Arua","Arua Municipality","Arua Hill"
"S","02","Oli River","Arua","Arua Municipality","Oli River"
"D","03","Bundibugyo","Bundibugyo","",""
"C","014","Bwamba County","Bundibugyo","Bwamba County",""
"S","01","Bubandi","Bundibugyo","Bwamba County","Bubandi"
"S","02","Bubukwanga","Bundibugyo","Bwamba County","Bubukwanga"
"S","03","Bundibugyo Town Council","Bundibugyo","Bwamba County","Bundibugyo Town Council"
"S","04","Busaru","Bundibugyo","Bwamba County","Busaru"
"S","05","Nyahuka Town Council","Bundibugyo","Bwamba County","Nyahuka Town Council"
"S","06","Kirumya","Bundibugyo","Bwamba County","Kirumya"
"S","07","Kisubba","Bundibugyo","Bwamba County","Kisubba"
"S","08","Mirambi","Bundibugyo","Bwamba County","Mirambi"
"C","215","Bughendera County","Bundibugyo","Bughendera County",""
"S","01","Harugali","Bundibugyo","Bughendera County","Harugali"
"S","02","Kasitu","Bundibugyo","Bughendera County","Kasitu"
"S","03","Ndugutu","Bundibugyo","Bughendera County","Ndugutu"
"S","04","Bukonzo","Bundibugyo","Bughendera County","Bukonzo"
"S","05","Ntotoro","Bundibugyo","Bughendera County","Ntotoro"
